start_transition_sequence,end_transition_sequence,requested_horizon_s,actual_horizon_s,step_count,action_change_count,collision_step_count,planar_position_error_cm,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s
68,123,1.5,1.5810000000000004,56,3,0,3.5157148680037716e-06,6.9803743798503055e-06,5.623924444522974e-06,5.894596574762545e-05
69,88,0.5,0.524,20,1,0,4.2736985506053315e-07,3.0133078077199116e-06,5.311587893582706e-07,1.5893227276464472e-06
69,106,1.0,1.0,38,2,0,1.3915194921522854e-06,1.8627502769542438e-06,6.4232793599523515e-06,2.837853796222589e-05
69,123,1.5,1.5560000000000005,55,3,0,3.524643063910284e-06,6.9803743798503055e-06,5.623893402309283e-06,5.89457588375808e-05
70,89,0.5,0.5249999999999999,20,1,0,5.907525064685615e-07,2.186097375123097e-06,4.827650977691187e-07,1.490880304544362e-06
70,108,1.0,1.025,39,2,0,1.6281715572811205e-06,1.166013505227457e-06,7.3465436477729315e-06,1.6152774577449236e-05
70,123,1.5,1.5290000000000004,54,3,0,3.5437792818299656e-06,6.9803743798503055e-06,5.623890196310164e-06,5.894573837395001e-05
71,89,0.5,0.5009999999999999,19,1,0,6.221085868673981e-07,2.1860966938902493e-06,4.597297650997757e-07,1.3248731933757085e-06
71,108,1.0,1.001,38,2,0,1.641735080753054e-06,1.1660135052274278e-06,7.345785963314495e-06,1.6158695615331453e-05
71,123,1.5,1.5050000000000003,53,3,0,3.5500316016522383e-06,6.9803743798503055e-06,5.623869433649204e-06,5.894560149499739e-05
72,90,0.5,0.504,19,1,0,7.672832680327701e-07,1.430993560536109e-06,4.1808615198887504e-07,1.1850169618909945e-06
72,109,1.0,1.0029999999999997,38,2,0,1.8396089191668716e-06,9.384623787289794e-07,7.787566433458274e-06,1.8130975831809337e-05
72,124,1.5,1.501,53,3,0,3.4567625364397013e-06,9.603323462670451e-06,4.360463473418753e-06,9.665145103099348e-05
